Detector Type,Descroptor Type,Image0-1,Image1-2,Image2-3,Image3-4,Image4-5,Image5-6,Image6-7,Image7-8,Image8-9,Image9-10,Image10-11,Image11-12,Image12-13,Image13-14,Image14-15,Image15-16,Image16-17,Image17-18,
SHITOMASI,BRISK,12.9722,12.264,13.9161,7.11572,16.2511,N.A,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
SHITOMASI,BRIEF,12.9722,12.264,13.9161,7.11572,16.2511,12.4213,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
SHITOMASI,ORB,12.9722,12.264,13.9161,7.11572,16.2511,12.4213,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
SHITOMASI,FREAK,12.9722,12.264,13.9161,7.11572,16.2511,12.4213,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
SHITOMASI,SIFT,12.9722,12.264,13.9161,7.11572,16.2511,12.4213,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
HARRIS,BRISK,12.9722,12.264,13.9161,7.11572,16.2511,12.4213,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
HARRIS,BRIEF,12.9722,12.264,13.9161,7.11572,16.2511,12.4213,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
HARRIS,ORB,12.9722,12.264,13.9161,N.A,16.2511,12.4213,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
HARRIS,FREAK,12.9722,12.264,13.9161,7.11572,16.2511,12.4213,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
HARRIS,SIFT,12.9722,12.264,13.9161,N.A,16.2511,N.A,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
FAST,BRISK,12.9722,12.264,13.9161,7.11572,16.2511,N.A,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
FAST,BRIEF,12.9722,12.264,13.9161,N.A,16.2511,12.4213,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
FAST,ORB,12.9722,12.264,13.9161,N.A,16.2511,12.4213,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
FAST,FREAK,12.9722,12.264,13.9161,N.A,16.2511,12.4213,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
FAST,SIFT,12.9722,12.264,13.9161,N.A,16.2511,12.4213,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
BRISK,BRISK,12.9722,12.264,13.9161,7.11572,16.2511,N.A,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
BRISK,BRIEF,12.9722,12.264,13.9161,N.A,16.2511,12.4213,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
BRISK,ORB,12.9722,12.264,13.9161,N.A,16.2511,N.A,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
BRISK,FREAK,12.9722,12.264,13.9161,7.11572,16.2511,12.4213,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
BRISK,SIFT,12.9722,12.264,13.9161,7.11572,16.2511,12.4213,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
ORB,BRISK,12.9722,12.264,13.9161,N.A,16.2511,N.A,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
ORB,BRIEF,12.9722,12.264,13.9161,N.A,16.2511,N.A,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
ORB,ORB,12.9722,12.264,13.9161,N.A,16.2511,N.A,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
ORB,FREAK,12.9722,12.264,13.9161,N.A,16.2511,N.A,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
ORB,SIFT,12.9722,12.264,13.9161,N.A,16.2511,N.A,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
AKAZE,BRISK,12.9722,12.264,13.9161,7.11572,16.2511,12.4213,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
AKAZE,BRIEF,12.9722,12.264,13.9161,7.11572,16.2511,12.4213,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
AKAZE,ORB,12.9722,12.264,13.9161,7.11572,16.2511,12.4213,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
AKAZE,FREAK,12.9722,12.264,13.9161,7.11572,16.2511,12.4213,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
AKAZE,AKAZE,12.9722,12.264,13.9161,N.A,16.2511,12.4213,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
AKAZE,SIFT,12.9722,12.264,13.9161,7.11572,16.2511,12.4213,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
SIFT,BRISK,12.9722,12.264,13.9161,N.A,16.2511,12.4213,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
SIFT,BRIEF,12.9722,12.264,13.9161,N.A,16.2511,N.A,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
SIFT,FREAK,12.9722,12.264,N.A,N.A,16.2511,12.4213,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
SIFT,SIFT,12.9722,12.264,13.9161,N.A,16.2511,12.4213,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978,
